Table,Field,Code,QC Name,QC Description,Message,Expression,Type of QC,Level Error,Creation Mode,Status,Valid
"AggregatedDataByWaterBody","resultNumberOfSamples","FT93","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultQualityNumberOfSamplesBelowLOQ","FT94","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultMinimumValue","FT96","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultMeanValue","FT98","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultMaximumValue","FT100","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultMedianValue","FT102","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultStandardDeviationValue","FT103","Field type NUMBER - DECIMAL","Checks if the field is a valid NUMBER - DECIMAL","The value is not a valid integer or decimal number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultNumberOfSitesClass1","FT112","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultNumberOfSitesClass2","FT113","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultNumberOfSitesClass3","FT114","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultNumberOfSitesClass4","FT115","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultNumberOfSitesClass5","FT116","Field type NUMBER - INTEGER","Checks if the field is a valid NUMBER - INTEGER","The value is not a valid integer number",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","","TU118","Table type uniqueConstraint","Checks if waterBodyIdentifier, waterBodyIdentifierScheme, observedPropertyDeterminandCode, procedureAnalysedMatrix and phenomenonTimeReferenceYear are uniques within table","Uniqueness and multiplicity constraints - The fields waterBodyIdentifier, waterBodyIdentifierScheme, observedPropertyDeterminandCode, procedureAnalysedMatrix and phenomenonTimeReferenceYear are uniques within table",,"TABLE","BLOCKER","true","true","true"
"DisaggregatedData","parameterWaterBodyCategory","FC119","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","resultUom","01a_mandatory_resultUom_missing","Mandatory resultUom test - missing unjustified","Tests that the resultUom is reported, if its absence is not justified by an appropriate resultObservationStatus flag ('L','M','N','O','Z').","The resultUom is missing without a proper justification in the resultObservationStatus field.","SELECT record_id
FROM dataset_74231.""disaggregateddata""
WHERE (""resultuom"" IS NULL or ""resultuom"" = '')
  AND (
   ""resultobservationstatus"" NOT IN ('L','M','N','O','Z') 
   OR ""resultobservationstatus"" IS NULL OR ""resultobservationstatus""=''
  )","FIELD","BLOCKER","false","true","true"
"DisaggregatedData","phenomenonTimeSamplingDate","07d_constraints_phenomenonTimeSamplingDate","Value constraints test - phenomenonTimeSamplingDate","Tests that the phenomenonTimeSamplingDate values are within the expected range (1900-2023).","The reported phenomenonTimeSamplingDate value is outside the expected range (1900-2023)","WITH
CTE_12422_dataflowmetadata AS (
    SELECT record_id
        ,CASE WHEN ""metadatavalueinteger"" = '' THEN NULL WHEN ISNUMERIC(""metadatavalueinteger"") THEN CAST(""metadatavalueinteger"" AS INT) ELSE NULL END as ""metadatavalueinteger""
        ,CASE WHEN ""metadatacode"" = '' THEN NULL ELSE ""metadatacode"" END as ""metadatacode""
    FROM dataset_74232.""dataflowmetadata""
)

,CTE_12421_disaggregateddata AS (
    SELECT record_id
        ,CASE WHEN ""phenomenontimesamplingdate"" = '' THEN NULL WHEN ISDATE(""phenomenontimesamplingdate"") THEN TO_DATE(""phenomenontimesamplingdate"", 'YYYY-MM-DD', 1) ELSE NULL END as ""phenomenontimesamplingdate""
    FROM dataset_74231.""disaggregateddata""
)

,
refYear as (
  SELECT n.""metadatavalueinteger"" as yearMin 
    , x.""metadatavalueinteger"" as yearMax 
  FROM CTE_12422_dataflowmetadata as n 
  CROSS JOIN CTE_12422_dataflowmetadata as x 
  WHERE n.""metadatacode"" = 'referenceYearMin' 
  AND x.""metadatacode"" = 'referenceYearMax' 
) 

,d as (
  SELECT *,  EXTRACT(YEAR FROM ""phenomenontimesamplingdate"") as dateYear
  FROM CTE_12421_disaggregateddata 
)

SELECT d.record_id
FROM d
CROSS JOIN refYear 
WHERE d.dateYear < refYear.yearMin 
  OR d.dateYear > refYear.yearMax","FIELD","WARNING","false","true","true"
"DisaggregatedData","resultObservedValue","08a_limit_resultObservedValue_acceptable","Value limit test - resultObservedValue - acceptable limits","Tests that the resultObservedValue follows acceptable limits for the respective observed property determinands.","The reported resultObservedValue is outside the acceptable limits ({%minoperator%}{%limitmin%} and {%maxoperator%}{%limitmax%}).","SELECT rep.record_id,
CASE refer.""limitmininclusive"" 
    WHEN '1' THEN '>=' 
    ELSE '>' 
  END AS minoperator 
  , CASE refer.""limitmaxinclusive"" 
    WHEN '1' THEN '<=' 
    ELSE '<' END AS maxoperator 
  , refer.""limitmin"" as limitmin
  , refer.""limitmax""  as limitmax

FROM dataset_74231.""disaggregateddata"" as rep 
INNER JOIN dataset_74232.""observedproperty_qc_reference"" as refer 
  ON rep.""observedpropertydeterminandcode"" = refer.""observedpropertydeterminandcode"" 
  AND LEFT(rep.""procedureanalysedmatrix"",1) = refer.""procedureanalysedmatrix"" 
WHERE COALESCE(rep.""resultobservationstatus"",'') <>'Z'
  AND refer.""tablename"" = 'DisaggregatedData'
  AND rep.""resultobservedvalue"" IS NOT NULL 
  AND rep.""resultobservedvalue"" <> ''
  AND (
    ( 
      refer.""limitminqclevel"" = 'BLOCKER' 
      AND ( 
        ( refer.""limitmininclusive"" = '1' AND CAST(rep.""resultobservedvalue"" AS NUMERIC(32,16)) < CAST(refer.""limitmin"" AS NUMERIC(32,16)) ) 
        OR ( refer.""limitmininclusive"" = '0' AND CAST(rep.""resultobservedvalue"" AS NUMERIC(32,16)) <= CAST(refer.""limitmin"" AS NUMERIC(32,16)) ) 
      )
    ) 
    OR ( 
      refer.""limitmaxqclevel"" = 'BLOCKER' 
      AND ( 
        ( refer.""limitmaxinclusive"" = '1' AND CAST(rep.""resultobservedvalue"" AS NUMERIC(32,16)) > CAST(refer.""limitmax"" AS NUMERIC(32,16)) ) 
        OR ( refer.""limitmaxinclusive"" = '0' AND CAST(rep.""resultobservedvalue"" AS NUMERIC(32,16)) >= CAST(refer.""limitmax"" AS NUMERIC(32,16)) ) 
      )
    )
  )","FIELD","BLOCKER","false","true","true"
"DisaggregatedData","resultObservedValue","08b_limit_resultObservedValue_expected","Value limit test - resultObservedValue - expected range","Tests that the resultObservedValue is within the commonly expected range for the respective observed property determinands.","The reported resultObservedValue is outside the the commonly expected range ({%minoperator%}{%limitmin%} and {%maxoperator%}{%limitmax%}).","SELECT rep.record_id 
  , CASE refer.""limitmininclusive"" 
    WHEN '1' THEN '>=' 
    ELSE '>' 
  END AS minoperator 
  , CASE refer.""limitmaxinclusive"" 
    WHEN '1' THEN '<=' 
    ELSE '<' END AS maxoperator 
  , refer.""limitmin"" 
  , refer.""limitmax"" 
FROM dataset_74231.""disaggregateddata"" as rep 
INNER JOIN dataset_74232.""observedproperty_qc_reference"" as refer
  ON rep.""observedpropertydeterminandcode"" = refer.""observedpropertydeterminandcode"" 
  AND LEFT(rep.""procedureanalysedmatrix"",1) = refer.""procedureanalysedmatrix"" 
WHERE COALESCE(rep.""resultobservationstatus"",'') NOT IN ('Z','A')
  AND refer.""tablename"" = 'DisaggregatedData'
  AND rep.""resultobservedvalue"" IS NOT NULL 
AND rep.""resultobservedvalue"" <>''
  AND (
    ( 
      refer.""limitminqclevel"" <> 'BLOCKER' 
      AND ( 
        ( refer.""limitmininclusive"" = '1' AND CAST(rep.""resultobservedvalue"" AS NUMERIC(32,16))< CAST(refer.""limitmin"" AS NUMERIC(32,16))) 
        OR ( refer.""limitmininclusive"" = '0' AND CAST(rep.""resultobservedvalue"" AS NUMERIC(32,16)) <= CAST(refer.""limitmin"" AS NUMERIC(32,16)) ) 
      )
    ) 
    OR ( 
      refer.""limitmaxqclevel"" <> 'BLOCKER' 
      AND ( 
        ( refer.""limitmaxinclusive"" = '1' AND CAST(rep.""resultobservedvalue"" AS NUMERIC(32,16)) > CAST(refer.""limitmax"" AS NUMERIC(32,16)) ) 
        OR ( refer.""limitmaxinclusive"" = '0' AND CAST(rep.""resultobservedvalue"" AS NUMERIC(32,16)) >= CAST(refer.""limitmax"" AS NUMERIC(32,16))) 
      )
    )
  )","FIELD","WARNING","false","true","true"
"DisaggregatedData","resultObservedValue","08c_limit_resultObservedValue_confirmed","Value limit test - resultObservedValue - confirmed outlier","Detects records with confirmed resultObservedValue outside the commonly expected range for the respective observed property determinands.","The reported resultObservedValue is a confirmed outlier outside the commonly expected range ({%minoperator%}{%limitmin%} and {%maxoperator%}{%limitmax%}).","SELECT rep.record_id 
  , CASE refer.""limitmininclusive"" 
    WHEN '1' THEN '>=' 
    ELSE '>' 
  END AS minoperator 
  , CASE refer.""limitmaxinclusive"" 
    WHEN '1' THEN '<=' 
    ELSE '<' END AS maxoperator 
  , refer.""limitmin"" 
  , refer.""limitmax"" 
FROM dataset_74231.""disaggregateddata"" as rep 
INNER JOIN dataset_74232.""observedproperty_qc_reference"" as refer
  ON rep.""observedpropertydeterminandcode"" = refer.""observedpropertydeterminandcode"" 
  AND LEFT(rep.""procedureanalysedmatrix"",1) = refer.""procedureanalysedmatrix"" 
WHERE rep.""resultobservationstatus""='A'
  AND refer.""tablename"" = 'DisaggregatedData'
  AND rep.""resultobservedvalue"" IS NOT NULL 
  AND rep.""resultobservedvalue"" <>''
  AND (
    ( 
      refer.""limitminqclevel"" <> 'BLOCKER' 
      AND ( 
        ( refer.""limitmininclusive"" = '1' AND CAST(rep.""resultobservedvalue"" AS NUMERIC(32,16)) < CAST(refer.""limitmin"" AS NUMERIC(32,16)) ) 
        OR ( refer.""limitmininclusive"" = '0' AND CAST(rep.""resultobservedvalue"" AS NUMERIC(32,16)) <= CAST(refer.""limitmin"" AS NUMERIC(32,16)) ) 
      )
    ) 
    OR ( 
      refer.""limitmaxqclevel"" <> 'BLOCKER' 
      AND ( 
        ( refer.""limitmaxinclusive"" = '1' AND CAST( rep.""resultobservedvalue"" AS NUMERIC(32,16))> CAST(refer.""limitmax"" AS NUMERIC(32,16))) 
        OR ( refer.""limitmaxinclusive"" = '0' AND CAST( rep.""resultobservedvalue"" AS NUMERIC(32,16)) >= CAST( refer.""limitmax"" AS NUMERIC(32,16))) 
      )
    )
  )","FIELD","INFO","false","true","true"
"DisaggregatedData","procedureLOQValue","09a_limit_procedureLOQvalue_acceptable","Value limit test - procedureLOQvalue - acceptable limits","Tests that the procedureLOQvalue follows acceptable limits for the respective observed property determinands.","The reported procedureLOQvalue is outside the acceptable limits ({%minoperator%}{%limitminloq%} and {%maxoperator%}{%limitmaxloq%}).","SELECT rep.record_id 
  ,CASE refer.""limitminloqinclusive"" 
    WHEN '1' THEN '>=' 
    ELSE '>' 
  END AS minoperator 
  ,CASE refer.""limitmaxloqinclusive"" 
    WHEN '1' THEN '<=' 
    ELSE '<' 
  END AS maxoperator 
  ,refer.""limitminloq"" 
  ,refer.""limitmaxloq"" 
FROM dataset_74231.""disaggregateddata"" as rep 
INNER JOIN dataset_74232.""observedproperty_qc_reference"" as refer
  ON rep.""observedpropertydeterminandcode"" = refer.""observedpropertydeterminandcode"" 
  AND LEFT(rep.""procedureanalysedmatrix"",1) = refer.""procedureanalysedmatrix"" 
WHERE COALESCE(rep.""resultobservationstatus"",'') <>'Z'
  AND refer.""tablename"" = 'DisaggregatedData'
  AND rep.""procedureloqvalue"" IS NOT NULL 
  AND rep.""procedureloqvalue"" <>''
  AND (
    ( 
      refer.""limitminloqqclevel"" = 'BLOCKER' 
      AND ( 
        ( refer.""limitminloqinclusive"" = '1' AND CAST(rep.""procedureloqvalue"" AS NUMERIC(32,16)) < CAST(refer.""limitminloq"" AS NUMERIC(32,16)) ) 
        OR ( refer.""limitminloqinclusive"" = '0' AND CAST(rep.""procedureloqvalue"" AS NUMERIC(32,16)) <= CAST(refer.""limitminloq"" AS NUMERIC(32,16)) ) 
      )
    ) 
    OR ( 
      refer.""limitmaxloqqclevel"" = 'BLOCKER' 
      AND ( 
        ( refer.""limitmaxloqinclusive"" = '1' AND CAST(rep.""procedureloqvalue"" AS NUMERIC(32,16)) > CAST(refer.""limitmaxloq"" AS NUMERIC(32,16)) ) 
        OR ( refer.""limitmaxloqinclusive"" = '0' AND CAST(rep.""procedureloqvalue"" AS NUMERIC(32,16)) >= CAST(refer.""limitmaxloq"" AS NUMERIC(32,16)) ) 
      )
    )
  )","FIELD","BLOCKER","false","true","true"
"DisaggregatedData","procedureLOQValue","09b_limit_procedureLOQvalue_expected","Value limit test - procedureLOQvalue - expected range","Tests that the procedureLOQvalue is within the commonly expected range for the respective observed property determinands.","The reported procedureLOQvalue is outside the commonly expected range ({%minoperator%}{%limitminloq%} and {%maxoperator%}{%limitmaxloq%}).","SELECT rep.record_id 
  ,CASE refer.""limitminloqinclusive"" 
    WHEN '1' THEN '>=' 
    ELSE '>' 
  END AS minoperator 
  ,CASE refer.""limitmaxloqinclusive"" 
    WHEN '1' THEN '<=' 
    ELSE '<' 
  END AS maxoperator 
  ,refer.""limitminloq"" 
  ,refer.""limitmaxloq"" 
FROM dataset_74231.""disaggregateddata"" as rep 
INNER JOIN dataset_74232.""observedproperty_qc_reference"" as refer
  ON rep.""observedpropertydeterminandcode"" = refer.""observedpropertydeterminandcode"" 
  AND LEFT(rep.""procedureanalysedmatrix"",1) = refer.""procedureanalysedmatrix"" 
WHERE COALESCE(rep.""resultobservationstatus"",'') <>'Z'
  AND refer.""tablename"" = 'DisaggregatedData'
  AND rep.""procedureloqvalue"" IS NOT NULL 
  AND rep.""procedureloqvalue"" <>''
  AND (
    ( 
      refer.""limitminloqqclevel"" <> 'BLOCKER' 
      AND ( 
        ( refer.""limitminloqinclusive"" = '1' AND CAST(rep.""procedureloqvalue"" AS NUMERIC(32,16)) < CAST(refer.""limitminloq"" AS NUMERIC(32,16))) 
        OR ( refer.""limitminloqinclusive""  = '0' AND CAST(rep.""procedureloqvalue"" AS NUMERIC(32,16)) <= CAST(refer.""limitminloq"" AS NUMERIC(32,16)) ) 
      )
    ) 
    OR ( 
      refer.""limitmaxloqqclevel"" <> 'BLOCKER' 
      AND ( 
        ( refer.""limitmaxloqinclusive"" = '1' AND CAST(rep.""procedureloqvalue"" AS NUMERIC(32,16)) > CAST(refer.""limitmaxloq"" AS NUMERIC(32,16)) ) 
        OR ( refer.""limitmaxloqinclusive"" = '0' AND CAST(rep.""procedureloqvalue"" AS NUMERIC(32,16)) >= CAST(refer.""limitmaxloq"" AS NUMERIC(32,16)) ) 
      )
    )
  )","FIELD","WARNING","false","true","true"
"DisaggregatedData","monitoringSiteIdentifierScheme","FC139","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","monitoringSiteIdentifierScheme","FT140","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","parameterWaterBodyCategory","TC141","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","observedPropertyDeterminandCode","TC142","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","procedureAnalysedMatrix","TC143","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","resultUom","TC144","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"DisaggregatedData","parameterSpecies","TC147","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","WARNING","true","true","true"
"DisaggregatedData","resultObservationStatus","TC148","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","monitoringSiteIdentifierScheme","FC149","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","monitoringSiteIdentifierScheme","FT150","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","parameterWaterBodyCategory","TC151","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","parameterWaterBodyCategory","TC152","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","observedPropertyDeterminandCode","TC153","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","observedPropertyDeterminandCode","TC154","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","procedureAnalysedMatrix","TC155","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","procedureAnalysedMatrix","TC156","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultUom","TC157","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultUom","TC158","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultObservationStatus","TC159","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultObservationStatus","TC160","Field type LINK","Checks if the record based on criteria is valid LINK","The value is not a valid member of the referenced list.",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultQualityMinimumBelowLOQ","FT161","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultQualityMinimumBelowLOQ","FT162","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultQualityMeanBelowLOQ","FT163","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultQualityMeanBelowLOQ","FT164","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultQualityMaximumBelowLOQ","FT165","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultQualityMaximumBelowLOQ","FT166","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
"AggregatedData","resultQualityMedianBelowLOQ","FT167","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","resultQualityMedianBelowLOQ","FT168","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","waterBodyIdentifierScheme","FC169","Field cardinality","Checks if the field is missing or empty","The value must not be missing or empty",,"FIELD","BLOCKER","true","true","true"
"AggregatedDataByWaterBody","waterBodyIdentifierScheme","FT170","Field type CODELIST","Checks if the field is a valid SINGLESELECT_CODELIST","The value is not a valid member of the codelist",,"FIELD","BLOCKER","true","true","true"
